Comment link,Commenter's Name,Commenter's Channel,Likes,Responses,Posted time,Edited time,comment,video title,labels,keyword 1,keyword 2,keyword 3
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgxqjT9v5VXrJQxh41d4AaABAg,C.J.,http://www.youtube.com/channel/UCYYkcDd0dYE0di4_Ow0OytA,0,0,2021-06-01T15:00:10Z,2021-06-01T15:00:10Z,My mom is 3 days younger than link,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgyAAZVbNPoWNrXKMvh4AaABAg,Emily Cemer,http://www.youtube.com/channel/UCtviI54gDD3mYfiDmluczMg,0,0,2021-06-01T14:59:26Z,2021-06-01T14:59:26Z,Happy birthday link,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgwzIvMMwTggycXLeTV4AaABAg,Madness Gaming,http://www.youtube.com/channel/UCzDkRNCjjRECeRsigJW0vow,0,0,2021-06-01T14:58:27Z,2021-06-01T14:58:27Z,Happy birthday Linkiepoo,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgwCHbnRVrXV-WunuZZ4AaABAg,Ayden Reed,http://www.youtube.com/channel/UCheGZzTBRTobpv-3PsZUHEw,0,0,2021-06-01T14:58:00Z,2021-06-01T14:58:00Z,Happy Birthday Link!!!! You and rhett and the crew is amazing!!!! Enjoy Your Birthday Link,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugzj-ZaPrhZ0SNizg-h4AaABAg,Randy Yesenosky,http://www.youtube.com/channel/UCUPbbBeDedWm4p4a5dtG0Eg,0,0,2021-06-01T14:57:17Z,2021-06-01T14:57:17Z,🤙🏽,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgxuQ5WIHOk2PVDq0wt4AaABAg,Margaret Huband,http://www.youtube.com/channel/UC0eoevekSxVgB5hcVWkrvDQ,0,0,2021-06-01T14:57:00Z,2021-06-01T14:57:00Z,Happy Birthday Link🥰,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgxV2MsVqt6eTvqKXZV4AaABAg,Raven Session,http://www.youtube.com/channel/UCJVr8HPK6HjETYj2Hz06ygg,0,0,2021-06-01T14:56:06Z,2021-06-01T14:56:06Z,Where will we go when y'all let go of YouTube :(,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgyGisr36BKEERvvFVV4AaABAg,Bertie Chaos,http://www.youtube.com/channel/UCQNoBJhBzrgNw59HtiwBCag,0,0,2021-06-01T14:56:06Z,2021-06-01T14:56:06Z,HAPPY BIRTHDAY LIKE! 🎂 🥳,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgwaXF3YYS5OmYKCZJ54AaABAg,DawnViolet,http://www.youtube.com/channel/UCVRj17ayNSUPWv3-YCcm_8g,0,0,2021-06-01T14:55:56Z,2021-06-01T14:55:56Z,I'm on Rhett's side with the hair in food. What I like to say to myself (even if it makes no sense) that it's my hair and just keep eating. <br><br>I'd rather have hair in my food though than spit. Spit is so gross. It makes me feel sick thinking about it,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugy4Kn4YCLMn3UNHOql4AaABAg,Cindy Lombera,http://www.youtube.com/channel/UCiKbscY5FL_EmQtN4H6uV1g,0,0,2021-06-01T14:55:05Z,2021-06-01T14:55:05Z,Happy birthday Link  💙💚,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgxAGGBMANRpESYJhVx4AaABAg,Jonathan Miranda,http://www.youtube.com/channel/UCRbrFr-J3UoY71y-jUwrGjA,0,0,2021-06-01T14:54:57Z,2021-06-01T14:54:57Z,Brooo RONSTADT is absolutely amazing!!! I love it!!!,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgyGxPsqdri7EoT6-zt4AaABAg,Ellie Mations,http://www.youtube.com/channel/UCWbAXejRWMCK_17Rne-ghvA,0,0,2021-06-01T14:54:41Z,2021-06-01T14:54:41Z,HAPPY BIRTHDAY BIRTHDAY TWIN 🥳,Which food would you rather?,,,,
